"","Time","SSC-H","SSC-A","FSC-H","FSC-A","SSC-B-H","SSC-B-A","LIVE DEAD Blue-A","BUV805-A","Spark Blue 550-A","Super Bright 436-A","Pacific Orange-A","BUV395-A","BV510-A","PE-Cy7-A","cFluor YG584-A","BV570-A","BUV496-A","PE-Fire 810-A","APC-Fire 810-A","BV480-A","BUV737-A","BV605-A","BV711-A","BV785-A","PerCP-Cy5.5-A","PE-Cy5-A","Alexa Fluor 700-A","BUV563-A","PerCP-eFluor 710-A","PE-A","BV421-A","APC-A","Alexa Fluor 647-A","Alexa Fluor 488-A","Alexa Fluor 594-A","CF405M-A","CF750-A","AF-A"
"1",22599,171037,263635.25,631131,953595.375,117366,177539.59375,2.42789363861084,258.501953125,3.79749011993408,2.19671893119812,2.10870242118835,-0.378018081188202,0.696693658828735,7.07387590408325,-1.26317846775055,6.10331916809082,-3.48116278648376,4.2611403465271,10.8296136856079,0.62195360660553,5816.58154296875,20453.140625,-1497.70007324219,8165.421875,4755.31787109375,59079.1875,-9.58926582336426,13.2998743057251,5.50939846038818,1.43237376213074,1077.98767089844,10.2547168731689,4.99447250366211,1.45052313804626,2.7084493637085,-8.13446235656738,3.8271849155426,7918.1337890625
"2",23737,244184,325201.8125,661260,897562.75,170427,225258.296875,3.59039831161499,-561.399169921875,3.08257842063904,-0.517179071903229,1.9388839006424,0.363691180944443,1.13575720787048,4.22118759155273,-0.547454535961151,5.66131258010864,3.96300935745239,0.783392727375031,8.61127471923828,0.0206850375980139,1488.03015136719,6684.68408203125,1205.66650390625,420.978759765625,8012.31005859375,37208.62109375,8.67998695373535,13.0232963562012,3.87363147735596,0.477694392204285,736.60888671875,10.1296463012695,5.09332752227783,2.32255554199219,3.53608536720276,3.33808207511902,2.97096014022827,3660.78466796875
"3",23781,245679,325523.375,538464,674504.75,204412,260963.046875,-0.898394227027893,3453.84912109375,2.95773005485535,3.82206726074219,2.41832590103149,-0.341744482517242,1.71845948696136,5.75189113616943,-1.32310652732849,3.90800333023071,2.84204792976379,4.97526931762695,10.410590171814,1.28133034706116,32999.42578125,13106.068359375,2290.9306640625,-922.654296875,9021.451171875,59968.015625,-10.2555322647095,12.9390964508057,5.97066020965576,0.961833357810974,-2091.7158203125,10.942063331604,4.83844661712646,2.23356032371521,-2.709721326828,-9.46777153015137,4.4847583770752,11411.0458984375
"4",26957,290735,388974.0625,555840,758800.0625,203119,265835.9375,4.79005146026611,-1174.2236328125,2.89914441108704,3.83853340148926,2.79941153526306,0.231923192739487,1.99556219577789,6.1032018661499,-0.61316043138504,9.88621711730957,6.27892112731934,5.0163779258728,11.2876319885254,1.02138090133667,12262.1513671875,742.511596679688,3338.88256835938,2800.5283203125,4270.4951171875,56206.8671875,-8.88187026977539,13.4019374847412,3.9390082359314,1.97987055778503,-214.682647705078,11.2083463668823,4.67371845245361,2.78742146492004,3.54971766471863,8.51662826538086,-3.43476676940918,-27011.630859375
"5",28211,198744,247169.671875,683800,920583.375,135257,172063.140625,1.12102067470551,2080.54638671875,3.94653797149658,0.953355491161346,2.24299740791321,-0.128862336277962,1.02920496463776,5.03394746780396,-0.379982501268387,5.91717433929443,0.959776222705841,0.12840111553669,7.24616289138794,-0.0531372725963593,846.806518554688,5005.2451171875,-945.574096679688,2714.58666992188,11128.541015625,21211.216796875,-8.87790012359619,12.4842844009399,4.6251072883606,0.398140549659729,287.9677734375,9.99274444580078,5.00271034240723,1.63412857055664,2.53148651123047,-8.16703701019287,4.09313678741455,4247.10693359375
"6",28671,238103,294049.375,423591,603994.9375,154153,191148.546875,3.0380687713623,-722.453125,3.35429859161377,4.17060136795044,2.14856791496277,-0.0632433444261551,0.338836878538132,5.98340606689453,-2.01477813720703,4.92269563674927,4.15310144424438,4.52136850357056,11.0185899734497,2.13680577278137,29995.2265625,50390.21484375,483.071044921875,406.416381835938,1336.330078125,40759.32421875,-10.1938343048096,12.6048498153687,-3.8324339389801,1.75513100624084,-701.266662597656,12.4667644500732,3.90519404411316,1.58774304389954,-1.82232439517975,-9.70777130126953,-3.08117318153381,-1379.06127929688
"7",30098,154338,183644.65625,621552,769159.625,90166,108438.4609375,3.12763142585754,602.70654296875,4.43973922729492,4.17773103713989,2.82825374603271,0.744361460208893,1.11992371082306,5.58303928375244,-0.329484343528748,-7.16035318374634,4.46312761306763,2.08102464675903,9.30974960327148,1.51548063755035,1230.34606933594,30339.814453125,2089.78344726562,35.7632293701172,6301.37353515625,68230.8828125,8.19425106048584,12.1146545410156,2.41666674613953,1.34420430660248,-2435.93359375,10.5202016830444,3.74936985969543,1.88832592964172,3.3486647605896,-8.53691864013672,-1.43924522399902,-10663.328125
"8",31210,368671,470063.875,588116,802061.5625,238487,309906.03125,3.85992670059204,-171.50634765625,4.02625751495361,3.4915657043457,2.73635697364807,-0.0148310344666243,0.747743785381317,5.83761644363403,-1.82168757915497,7.27060508728027,3.59870147705078,4.36068677902222,10.5520267486572,1.11237752437592,34109.265625,22893.763671875,6949.19287109375,-557.249572753906,1551.08996582031,61001.82421875,-9.91025161743164,13.1331329345703,1.99914991855621,1.74236726760864,1149.06689453125,12.2735443115234,5.46346473693848,3.09931397438049,3.94522666931152,-7.95059967041016,-3.80670022964478,-3685.54809570312
"9",33561,258526,360984.0625,516091,748046.8125,194720,265532.625,4.06476831436157,1158.25366210938,5.08843088150024,3.0693039894104,3.06152939796448,5.25294828414917,1.25364100933075,5.30461072921753,-0.41497415304184,7.03933715820312,2.75389695167542,2.38448071479797,8.97846221923828,0.250073194503784,1017.57458496094,12075.8046875,1961.75646972656,-237.34553527832,3681.67309570312,26077.158203125,-8.34382915496826,11.9703674316406,5.12832021713257,0.411896139383316,-270.078094482422,10.3240900039673,4.87881946563721,2.0626106262207,2.75705051422119,4.59100294113159,4.05070018768311,-15580.310546875
"10",34518,138857,198965.90625,610364,765316.5625,108817,155819.640625,-2.82717275619507,-393.175567626953,4.38887786865234,3.60603642463684,2.52227115631104,5.02728223800659,0.721557080745697,6.14164304733276,-1.34299397468567,-5.48432731628418,6.20968294143677,2.37631464004517,8.34636497497559,1.43063020706177,409.412292480469,1974.13391113281,-1363.53503417969,177067.3125,1341.12463378906,10231.521484375,-6.47258424758911,12.4912195205688,3.51164102554321,1.06085908412933,-1472.1640625,10.255274772644,4.66074085235596,1.85795676708221,3.0316789150238,-8.62751388549805,4.11368274688721,-6528.0126953125
